ABANDCOR,ABANDCOR_ne,ABANDCOR_pe,DEC,GCSAT,HELCOR,HOST,KECKID,MASKNAME,NUCLEUS,OBJ_PROB,OBJ_TYPE,RA,SLITNUM,SN,SPEC1DNAME,TARGTYPE,VCC,VERR,VERR_ne,VERR_pe,VHEL,VOBS,VOBS_ne,VOBS_pe,YHIGH,YLOW,ZCONF,ZQUAL,ZSPECNUM
78.81452178955078,23.01592254638672,25.247467041015625,10.299722671508789,Y,14.600000381469727,VCC1075,gcA10,vdgc1,--------,1.0,DE_GC,187.05532836914062,11,3.3399999141693115,spec1d.vdgc1.011.gcA10.fits.gz,GCA,---,6.694326400756836,5.546625137329102,7.125505447387695,1795.882568359375,1810.4825439453125,5.403738021850586,7.014853000640869,31,25,1.0,3,12
-2.181509017944336,8.245704650878906,6.884762763977051,10.286805152893066,Y,14.600000381469727,VCC1075,gcA17,vdgc1,--------,1.0,DE_GC,187.04483032226562,12,5.360000133514404,spec1d.vdgc1.012.gcA17.fits.gz,GCA,---,10.3399076461792,10.394688606262207,9.879919052124023,1843.0950927734375,1855.513671875,6.204292297363281,6.974824905395508,23,17,1.0,4,13
4.523129463195801,1.9613568782806396,2.892000675201416,10.28922176361084,Y,14.600000381469727,VCC1075,gcA19,vdgc1,--------,1.0,DE_GC,187.0367431640625,14,7.059999942779541,spec1d.vdgc1.014.gcA19.fits.gz,GCA,---,6.052628993988037,6.983405590057373,4.571608543395996,1802.707275390625,1821.8304443359375,6.584555149078369,3.3122916221618652,46,39,1.0,4,15
370.17608642578125,59.21096420288086,67.036376953125,10.315305709838867,Y,14.600000381469727,VCC1075,gcA20,vdgc1,--------,1.0,DE_GC,187.04432678222656,15,2.930000066757202,spec1d.vdgc1.015.gcA20.fits.gz,GCA,---,2.5437276363372803,1.2718638181686401,1.428783893585205,1861.227783203125,1875.8277587890625,0.2301592230796814,0.6904776692390442,36,32,1.0,1,16
-4.7632951736450195,5.984139919281006,4.102838516235352,10.353888511657715,Y,14.600000381469727,VCC1079,gcN120,vdgc1,--------,1.0,DE_GC,187.04229736328125,26,6.539999961853027,spec1d.vdgc1.026.gcN120.fits.gz,GCN,---,12.56018352508545,11.683929443359375,13.214162826538086,1323.215576171875,1333.0521240234375,9.956888198852539,12.49864673614502,128,122,1.0,1,31
16.7615966796875,10.467241287231445,10.147019386291504,10.367777824401855,Y,14.600000381469727,VCC1079,gcN138,vdgc1,--------,1.0,DE_GC,187.05162048339844,27,6.96999979019165,spec1d.vdgc1.027.gcN138.fits.gz,GCN,---,13.627155303955078,13.110909461975098,13.831950187683105,1338.6162109375,1369.977783203125,7.795392990112305,9.316445350646973,38,32,1.0,4,32
1.8112530708312988,7.58524751663208,8.41582202911377,10.373971939086914,Y,14.600000381469727,VCC1079,gcN145,vdgc1,--------,1.0,DE_GC,187.0569610595703,29,4.940000057220459,spec1d.vdgc1.029.gcN145.fits.gz,GCN,---,11.331903457641602,10.722818374633789,11.525938034057617,1313.9090576171875,1330.3203125,7.475171089172363,7.775379180908203,26,20,1.0,4,34
3.08213210105896,2.1114606857299805,1.5010384321212769,10.377333641052246,Y,14.600000381469727,VCC1079,gcN147,vdgc1,--------,1.0,DE_GC,187.05429077148438,30,7.019999980926514,spec1d.vdgc1.030.gcN147.fits.gz,GCN,---,6.813011646270752,4.866966247558594,8.182218551635742,1358.5799560546875,1376.2620849609375,4.202907562255859,7.945497035980225,36,30,1.0,4,35
4.473094463348389,3.3823399543762207,3.422367572784424,10.524444580078125,Y,14.600000381469727,VCC1076,gcN206,vdgc1,--------,1.0,DE_GC,187.05149841308594,37,6.989999771118164,spec1d.vdgc1.037.gcN206.fits.gz,GCN,---,11.440351486206055,10.92923641204834,11.538050651550293,1650.411865234375,1669.4849853515625,10.317137718200684,10.947572708129883,120,114,1.0,4,44
-17.88237190246582,13.409276962280273,13.35924243927002,10.529555320739746,Y,14.600000381469727,VCC1076,gcN210,vdgc1,--------,1.0,DE_GC,187.0541229248047,38,2.890000104904175,spec1d.vdgc1.038.gcN210.fits.gz,GCN,---,19.80353355407715,19.004791259765625,20.38812255859375,1674.228271484375,1670.9459228515625,13.409276962280273,15.350619316101074,55,49,1.0,4,46
-13.799546241760254,4.623198509216309,2.611806869506836,11.88236141204834,Y,14.0,VCC1407,gcA10,vdgc2,--------,1.0,DE_GC,188.01658630371094,10,5.71999979019165,spec1d.vdgc2.010.gcA10.fits.gz,GCA,---,7.752790451049805,8.1502685546875,6.81966495513916,1089.2833251953125,1089.483642578125,6.59456205368042,6.174271583557129,39,33,1.0,4,11
4.593177795410156,3.7726099491119385,4.2429351806640625,11.887527465820312,Y,14.0,VCC1407,gcA11,vdgc2,--------,1.0,DE_GC,188.0120849609375,11,5.929999828338623,spec1d.vdgc2.011.gcA11.fits.gz,GCA,---,9.102485656738281,8.776921272277832,8.910826683044434,1018.9646606445312,1037.5577392578125,7.825413703918457,7.735351085662842,20,12,1.0,4,12
-2.141481399536133,3.3423123359680176,3.2622568607330322,11.876166343688965,Y,14.0,VCC1407,gcA15,vdgc2,--------,1.0,DE_GC,187.99790954589844,13,5.019999980926514,spec1d.vdgc2.013.gcA15.fits.gz,GCA,---,9.93615436553955,8.865602493286133,10.542648315429688,1040.2392578125,1052.097900390625,8.115614891052246,9.946881294250488,47,40,1.0,4,14
