VCC,TARGTYPE,GCSAT,HOST,RA,DEC,VHEL,VERR,VERR_pe,VERR_ne,ZCONF,VOBS,VOBS_pe,VOBS_ne,ABANDCOR,ABANDCOR_pe,ABANDCOR_ne,HELCOR,SN,KECKID,MASKNAME,SLITNUM,ZSPECNUM,ZQUAL,YLOW,YHIGH,SPEC1DNAME,Type,Probability,Nucleus
---,GCA,Y,VCC1861,190.2433319091797,11.182167053222656,642.2632446289062,81.03466033935547,68.40875244140625,93.60310363769531,1.0,655.1632080078125,68.3973159790039,93.5947494506836,25.167409896850586,85.77934265136719,27.23884391784668,12.899999618530273,1.5199999809265137,gcA21,vdgc8,14,17,2,16,20,spec1d.vdgc1.031.gcN177.fits,DE_GC,1.0,0
---,GCA,Y,VCC1861,190.2379150390625,11.175389289855957,655.5224609375,6.55040979385376,7.92514181137085,4.815181255340576,1.0,632.2373657226562,6.414437294006348,2.051419258117676,-36.185035705566406,4.4831013679504395,4.172886848449707,12.899999618530273,3.640000104904175,gcA18,vdgc8,12,15,3,24,30,spec1d.vdgc1.032.gcN185.fits,DE_GC,1.0,0
---,GCA,Y,VCC1861,190.23312377929688,11.183333396911621,702.6950073242188,14.793099403381348,18.3664608001709,11.385231018066406,1.0,685.6243286132812,17.14185905456543,8.41582202911377,-29.970735549926758,6.474478721618652,7.5652337074279785,12.899999618530273,4.230000019073486,gcA12,vdgc8,10,13,3,26,32,spec1d.vdgc1.033.gcN186.fits,DE_GC,1.0,0
---,GCA,Y,VCC1861,190.2380828857422,11.193750381469727,606.6386108398438,7.750077247619629,6.4146246910095215,8.498522758483887,1.0,599.04443359375,5.7639875411987305,8.055572509765625,-20.494178771972656,2.521744728088379,2.4016613960266113,12.899999618530273,5.630000114440918,gcA11,vdgc8,9,12,1,38,43,spec1d.vdgc1.034.gcN189.fits,DE_GC,1.0,0
---,ALG,N,---,190.27833557128906,11.214944839477539,1.8702181577682495,2.634183406829834,1.5247673988342285,1.4735002517700195,1.0,-3.36232590675354,0.7405123114585876,0.6904776692390442,-18.132543563842773,0.4603184461593628,0.36024922132492065,12.899999618530273,69.19999694824219,alg113,vdgc8,4,4,-1,13,19,spec1d.vdgc1.035.gcN190.fits,Star,0.982880711555481,0
---,ALG,N,---,190.29261779785156,11.213360786437988,45.620487213134766,2.5276148319244385,1.3002454042434692,1.3048582077026367,1.0,19.293346405029297,0.2301592230796814,0.17011769115924835,-39.227134704589844,0.2701869010925293,0.3302284777164459,12.899999618530273,115.33000183105469,alg91,vdgc8,3,3,-1,12,17,spec1d.vdgc1.036.gcN195.fits,Star,0.9820612072944641,0
---,ALG,N,---,190.27108764648438,11.294166564941406,20.763288497924805,2.7220165729522705,1.6636189222335815,1.6329078674316406,1.0,4.202907562255859,0.7805399894714355,0.7905468940734863,-29.46038055419922,0.77053302526474,0.6904776692390442,12.899999618530273,44.52000045776367,alg82,vdgc8,2,2,-1,15,21,spec1d.vdgc1.037.gcN206.fits,Star,0.9828302264213562,0
---,ALG,N,---,190.29495239257812,11.283361434936523,-34.524959564208984,2.850243330001831,1.9209903478622437,1.785191297531128,1.0,-52.42626953125,1.0507268905639648,0.900623083114624,-30.80130958557129,1.0106991529464722,0.900623083114624,12.899999618530273,41.880001068115234,alg51,vdgc8,1,1,-1,16,22,spec1d.vdgc1.038.gcN210.fits,Star,0.9816717505455017,0
---,GCN,N,---,190.2587890625,11.372916221618652,6.093139171600342,2.9995949268341064,2.105024576187134,2.047999382019043,1.0,42.85965347290039,1.6011075973510742,1.5810937881469727,23.86651039123535,0.5503807663917542,0.36024922132492065,12.899999618530273,38.2599983215332,gcN197,vdgc8,43,52,4,218,224,spec1d.vdgc1.039.gcN211.fits,Star,0.9829083681106567,0
---,VIR,N,---,190.29666137695312,11.250833511352539,-244.06993103027344,2.8899786472320557,2.0650904178619385,1.7689907550811768,1.0,-258.5488586425781,1.591100811958313,1.2008306980133057,-27.37894058227539,0.4102838337421417,0.3502423167228699,12.899999618530273,46.099998474121094,vir322,vdgc8,44,53,4,39,45,spec1d.vdgc1.040.serendip1.fits,Star,0.8394386172294617,0
---,VIR,N,---,190.3070831298828,11.278833389282227,37.19465637207031,2.5881781578063965,1.4407883882522583,1.4014694690704346,1.0,24.5169620513916,0.4903392195701599,0.25017306208610535,-25.577693939208984,0.520359992980957,0.5804014801979065,12.899999618530273,34.849998474121094,vir324,vdgc8,45,54,4,31,37,spec1d.vdgc1.041.gcN214.fits,Star,0.9824152588844299,0
---,VIR,N,---,190.27066040039062,11.285555839538574,106.54263305664062,4.3301682472229,3.6512653827667236,3.851170539855957,1.0,91.77349090576172,3.182201623916626,3.462395191192627,-27.66914176940918,1.280886173248291,1.1307823657989502,12.899999618530273,19.649999618530273,vir325,vdgc8,46,56,4,43,49,spec1d.vdgc1.042.vir269.fits,Star,0.9758257865905762,0
---,GCA,Y,VCC1861,190.25070190429688,11.18405532836914,705.897216796875,11.843399047851562,11.163447380065918,12.31790828704834,1.0,718.0267333984375,5.8640570640563965,8.926175117492676,-0.6704638600349426,9.416515350341797,8.395808219909668,12.800000190734863,3.630000114440918,gcA26,vdgc9B,14,18,4,18,24,spec1d.vdgc1.043.vir275.fits,DE_GC,1.0,0
---,GCA,Y,VCC1861,190.2499237060547,11.188055992126465,683.521728515625,6.417695999145508,5.515893459320068,6.59402322769165,1.0,698.1029663085938,4.993454456329346,5.643904209136963,1.7812323570251465,1.9813706874847412,3.172194480895996,12.800000190734863,7.989999771118164,gcA23,vdgc9B,13,16,4,17,23,spec1d.vdgc1.044.vir289.fits,DE_GC,1.0,0
---,GCA,Y,VCC1861,190.23904418945312,11.183833122253418,636.7493896484375,11.623299598693848,12.06147289276123,10.896735191345215,1.0,635.97998046875,6.254326820373535,7.405122756958008,-13.569387435913086,10.237082481384277,7.8954620361328125,12.800000190734863,1.9600000381469727,gcA14,vdgc9B,12,14,3,21,25,spec1d.vdgc1.045.sgr378.fits,DE_GC,1.0,0
---,GCA,Y,VCC1861,190.2378387451172,11.186388969421387,702.9151611328125,14.121662139892578,15.539168357849121,12.438709259033203,1.0,712.472900390625,11.588017463684082,10.317137718200684,-3.2422428131103516,10.277109146118164,6.834728240966797,12.800000190734863,3.440000057220459,gcA13,vdgc9B,11,12,4,15,21,spec1d.vdgc1.046.sgr388.fits,DE_GC,1.0,0
---,GCA,Y,VCC1861,190.23312377929688,11.183333396911621,682.3609008789062,18.199874877929688,18.219226837158203,18.0065975189209,1.0,697.8827514648438,8.696016311645508,6.354395866394043,2.7218830585479736,15.961041450500488,16.80162239074707,12.800000190734863,5.489999771118164,gcA11,vdgc9B,9,9,4,41,47,spec1d.vdgc1.047.sgr401.fits,DE_GC,1.0,0
---,GCA,N,---,190.22012329101562,11.182167053222656,1026.27880859375,6.2870635986328125,5.479144096374512,6.753798007965088,1.0,1043.7821044921875,2.8119454383850098,5.914091110229492,4.703253746032715,4.533135890960693,3.0120837688446045,12.800000190734863,6.309999942779541,gcA9,vdgc9B,8,8,4,50,56,spec1d.vdgc1.048.sgr408.fits,ICGC,1.0,0
---,GCA,N,---,190.2322540283203,11.209610939025879,-176.0729522705078,3.277271032333374,2.2317233085632324,2.694279193878174,1.0,-156.91854858398438,1.7612184286117554,2.2515575885772705,6.354395866394043,0.5603876709938049,0.7905468940734863,12.800000190734863,27.309999465942383,gcA8,vdgc9B,7,7,4,79,85,spec1d.vdgc1.049.sgr412.fits,Star,0.9409740567207336,0
---,ALG,N,---,190.42137145996094,11.1361665725708,7.994385719299316,2.5288476943969727,1.3140350580215454,1.2952685356140137,1.0,32.35238265991211,0.3302284777164459,0.2701869010925293,11.557995796203613,0.2301592230796814,0.20013844966888428,12.800000190734863,132.8000030517578,alg121,vdgc9B,5,5,-1,11,17,spec1d.vdgc1.050.sgr414.fits,Star,0.9829135537147522,0
---,ALG,N,---,190.4288330078125,11.14336109161377,20.833269119262695,2.521054267883301,1.288486123085022,1.2896900177001953,1.0,-28.04940414428711,0.2701869010925293,0.2701869010925293,-61.682674407958984,0.1501038372516632,0.16011077165603638,12.800000190734863,140.8000030517578,alg111,vdgc9B,4,4,-1,12,18,spec1d.vdgc1.051.sgr417.fits,Star,0.982829213142395,0
---,ALG,N,---,190.29261779785156,11.213360786437988,13.96851921081543,2.524507761001587,1.2964662313461304,1.2952685356140137,1.0,15.370634078979492,0.2601799964904785,0.2701869010925293,-11.3978853225708,0.22015230357646942,0.20013844966888428,12.800000190734863,128.27000427246094,alg91,vdgc9B,3,3,-1,14,20,spec1d.vdgc1.052.sgr425.fits,Star,0.9829001426696777,0
---,ALG,N,---,190.3160858154297,11.201167106628418,-28.5008602142334,2.813218355178833,1.6488664150238037,1.952504277229309,1.0,-38.136383056640625,0.9506576657295227,1.3409277200698853,-22.435522079467773,0.5003461241722107,0.6704638600349426,12.800000190734863,51.849998474121094,alg86,vdgc9B,2,2,-1,14,20,spec1d.vdgc1.053.sgr426.fits,Star,0.9819988012313843,0
---,ALG,N,---,190.2205352783203,11.254278182983398,-32.533653259277344,2.6316733360290527,1.5518798828125,1.4420040845870972,1.0,6.8047075271606445,0.840581476688385,0.620429277420044,26.538358688354492,0.3702561557292938,0.36024922132492065,12.800000190734863,59.0,alg81,vdgc9B,1,1,-1,14,20,spec1d.vdgc1.054.sgr433.fits,Star,0.9817858934402466,0
---,MST,N,---,190.2792510986328,11.352250099182129,-461.69049072265625,19.668251037597656,24.16908836364746,14.93277645111084,1.0,-448.79046630859375,24.13669776916504,14.880294799804688,-3.5224368572235107,55.088111877441406,25.167409896850586,12.899999618530273,0.9100000262260437,mst561,vdgc8,66,81,2,67,73,spec1d.vdgc1.056.mst488.fits,ICGC,0.9857683777809143,0
---,MST,N,---,190.25112915039062,11.235027313232422,1.6000312566757202,16.770645141601562,14.049351692199707,19.983074188232422,1.0,-23.236074447631836,9.486562728881836,18.43275260925293,-37.736106872558594,10.287116050720215,7.615268230438232,12.899999618530273,3.7300000190734863,mst532,vdgc8,65,80,3,39,44,spec1d.vdgc2.000.alg24.fits,Star,0.9828781485557556,0
---,ALG,N,---,190.3130340576172,11.408971786499023,-23.207130432128906,2.662034273147583,1.629070520401001,1.4862555265426636,1.0,-56.609161376953125,0.8605953454971313,0.47032538056373596,-46.30202865600586,0.590408444404602,0.6504499912261963,12.899999618530273,72.6500015258789,alg46,vdgc8,0,0,-1,12,19,spec1d.vdgc2.001.alg67.fits,Star,0.9822424650192261,0
---,MST,N,---,190.23033142089844,11.164361000061035,188.62942504882812,13.402422904968262,12.988018989562988,13.637335777282715,1.0,206.75303649902344,10.086978912353516,12.24847412109375,5.223613739013672,8.085593223571777,5.8640570640563965,12.899999618530273,3.630000114440918,mst519,vdgc8,62,76,1,142,148,spec1d.vdgc2.002.alg71.fits,Star,0.9452439546585083,0
---,SGR,N,---,190.3286590576172,11.397138595581055,299.0057678222656,5.878438949584961,6.209737300872803,4.7433762550354,1.0,297.4457702636719,5.854050159454346,4.222921371459961,-14.460002899169922,1.6511422395706177,1.7612184286117554,12.899999618530273,13.329999923706055,sgr455,vdgc8,60,74,4,149,155,spec1d.vdgc2.003.alg95.fits,Star,0.713434100151062,0
---,SGR,N,---,190.3439178466797,11.38136100769043,-7.866517543792725,49.50199508666992,27.458873748779297,71.53118896484375,1.0,-10.317137718200684,27.11876106262207,71.36937713623047,-15.350619316101074,4.122852325439453,4.643211841583252,12.899999618530273,5.480000019073486,sgr452,vdgc8,59,72,4,17,23,spec1d.vdgc2.004.alg109.fits,Star,0.9827306270599365,0
---,SGR,N,---,190.32891845703125,11.37399959564209,-60.33281326293945,12.61811637878418,16.30948829650879,8.675084114074707,1.0,-63.483917236328125,15.941027641296387,7.915475845336914,-16.051103591918945,3.2122223377227783,3.322298288345337,12.899999618530273,5.619999885559082,sgr448,vdgc8,58,71,4,36,42,spec1d.vdgc2.005.alg177.fits,Star,0.9795985221862793,0
---,SGR,N,---,190.25079345703125,11.341111183166504,26.79746437072754,16.506311416625977,25.310319900512695,7.789790153503418,1.0,45.23128890991211,24.807161331176758,6.6245832443237305,5.5338287353515625,4.8633646965026855,3.9026997089385986,12.899999618530273,3.9700000286102295,sgr438,vdgc8,57,70,3,153,159,spec1d.vdgc2.006.nuc5.fits,Star,0.9827188849449158,0
---,SGR,N,---,190.31329345703125,11.337528228759766,-24.037704467773438,20.380672454833984,23.026554107666016,17.751327514648438,1.0,-35.60462951660156,12.92894458770752,12.938950538635254,-24.46692657470703,19.013153076171875,12.088363647460938,12.899999618530273,4.289999961853027,sgr437,vdgc8,56,69,3,53,59,spec1d.vdgc2.007.nuc6.fits,Star,0.9822068810462952,0
---,SGR,N,---,190.31187438964844,11.33388900756836,25.88683319091797,11.726693153381348,11.901681900024414,11.157848358154297,1.0,13.92963695526123,10.70740795135498,9.736736297607422,-24.857196807861328,5.043489456176758,5.303668975830078,12.899999618530273,5.289999961853027,sgr435,vdgc8,55,67,4,124,129,spec1d.vdgc2.008.nuc7.fits,Star,0.9827386736869812,0
---,SGR,N,---,190.30245971679688,11.307055473327637,-28.92108154296875,14.415281295776367,12.922226905822754,16.0148983001709,1.0,-8.315752983093262,8.1656494140625,13.749512672424316,7.705330848693848,9.936873435974121,8.115614891052246,12.899999618530273,4.25,sgr429,vdgc8,54,66,3,78,84,spec1d.vdgc2.009.gcA9.fits,Star,0.9819777607917786,0
---,SGR,N,---,190.25779724121094,11.250694274902344,-22.586700439453125,13.617374420166016,13.088006973266602,13.800609588623047,1.0,-41.06840896606445,12.718799591064453,13.459310531616211,-31.381710052490234,2.8219521045684814,2.7819244861602783,12.899999618530273,8.600000381469727,sgr415,vdgc8,53,65,4,114,120,spec1d.vdgc2.010.gcA10.fits,Star,0.9822683930397034,0
---,SGR,N,---,190.2779541015625,11.237500190734863,-96.2676773071289,3.8600690364837646,2.593801259994507,3.8413290977478027,1.0,-106.97400665283203,1.941343069076538,3.4023537635803223,-23.60633087158203,1.180816888809204,1.2708791494369507,12.899999618530273,15.899999618530273,sgr405,vdgc8,52,63,4,42,48,spec1d.vdgc2.011.gcA11.fits,Star,0.974329948425293,0
---,SGR,N,---,190.27845764160156,11.232250213623047,191.1411590576172,4.925907135009766,3.6607561111450195,5.207966327667236,1.0,183.937255859375,3.2422428131103516,4.9033918380737305,-20.103906631469727,1.1507961750030518,1.2308515310287476,12.899999618530273,16.43000030517578,sgr403,vdgc8,51,62,4,32,38,spec1d.vdgc2.013.gcA15.fits,Star,0.9434607028961182,0
---,SGR,N,---,190.21958923339844,11.203083038330078,-80.89704132080078,7.4570393562316895,7.211965084075928,7.074929714202881,1.0,-46.55220413208008,6.024167537689209,6.234313011169434,21.444835662841797,3.7626030445098877,3.1021461486816406,12.899999618530273,7.699999809265137,sgr395,vdgc8,50,61,4,20,26,spec1d.vdgc2.014.gcA16.fits,Star,0.9769958257675171,0
---,VIR,N,---,190.29100036621094,11.37255573272705,52.8955192565918,2.772843360900879,1.7689907550811768,1.6929453611373901,1.0,54.91799545288086,0.0,0.0,-10.877525329589844,1.2508653402328491,1.140789270401001,12.899999618530273,21.989999771118164,vir334,vdgc8,49,59,4,114,120,spec1d.vdgc2.015.gcA17.fits,Star,0.9816732406616211,0
---,VIR,N,---,190.3385772705078,11.368583679199219,130.6993408203125,3.0237221717834473,2.074838399887085,2.1450791358947754,1.0,119.63276672363281,1.5810937881469727,1.6911699771881104,-23.966581344604492,0.4903392195701599,0.4202907383441925,12.899999618530273,42.04999923706055,vir333,vdgc8,48,58,4,122,128,spec1d.vdgc2.017.gcA27.fits,Star,0.9706975221633911,0
---,VIR,N,---,190.2807159423828,11.322416305541992,-123.94682312011719,7.855737209320068,6.166976451873779,8.948460578918457,1.0,-136.01409912109375,5.914091110229492,8.766064643859863,-24.967273712158203,1.2208445072174072,1.2908930778503418,12.899999618530273,18.850000381469727,vir332,vdgc8,47,57,4,51,57,spec1d.vdgc2.018.gcA29.fits,Star,0.9673746228218079,0
---,MST,N,---,190.2344207763672,11.153499603271484,-57.12059020996094,10.947931289672852,10.038908958435059,11.465025901794434,1.0,-45.221282958984375,8.535905838012695,8.966202735900879,-1.0006922483444214,5.133551120758057,7.034866809844971,12.899999618530273,1.6299999952316284,mst517,vdgc8,61,75,2,10,15,spec1d.vdgc2.024.gcN119.fits,Star,0.9799220561981201,0
---,GCA,Y,VCC1861,190.251953125,11.17347240447998,615.5947265625,3.812706470489502,3.2104134559631348,3.10585618019104,1.0,633.1179809570312,2.701869010925293,2.231543779373169,4.723267555236816,1.2008306980133057,1.7612184286117554,12.800000190734863,16.559999465942383,gcA29,vdgc9B,15,19,4,27,33,spec1d.vdgc2.025.gcN147.fits,DE_GC,1.0,0
---,MST,N,---,189.946044921875,12.952583312988281,171.0577392578125,29.336286544799805,32.617122650146484,26.75237274169922,1.0,155.17735290527344,24.526968002319336,13.039020538330078,-29.480396270751953,21.4648494720459,23.32613754272461,13.600000381469727,3.809999942779541,mst578,vdgc7,62,74,1,38,44,spec1d.vdgc2.026.gcN152.fits,Star,0.9557555913925171,0
---,MST,N,---,190.05857849121094,12.851055145263672,-19.994422912597656,13.66146183013916,15.955048561096191,11.713739395141602,1.0,-23.576309204101562,13.23915958404541,5.874063968658447,-17.181886672973633,8.816099166870117,10.056958198547363,13.600000381469727,3.809999942779541,mst518,vdgc7,52,61,1,76,83,spec1d.vdgc2.028.gcN179.fits,Star,0.9823710322380066,0
---,ALG,N,---,189.9219207763672,13.003360748291016,237.99404907226562,2.505110740661621,1.2556993961334229,1.2598392963409424,1.0,177.21258544921875,0.0,0.0,-74.38145446777344,0.11007615178823471,0.1501038372516632,13.600000381469727,247.94000244140625,alg47,vdgc7,1,1,-1,16,22,spec1d.vdgc2.029.gcN183.fits,Star,0.8904271721839905,0
---,ALG,N,---,190.0646209716797,12.816389083862305,130.13943481445312,2.5351507663726807,1.3073883056640625,1.3260966539382935,1.0,143.73944091796875,0.3802630603313446,0.44030460715293884,204.7916717529297,0.2301592230796814,0.1901315301656723,13.600000381469727,148.88999938964844,alg43,vdgc7,0,0,-1,12,19,spec1d.vdgc2.030.gcN186.fits,Star,0.9708415269851685,0
---,MST,N,---,188.65504455566406,11.862194061279297,1375.3206787109375,15.553491592407227,11.631278038024902,19.583511352539062,1.0,1325.6671142578125,8.03555965423584,17.442066192626953,-62.953548431396484,8.315752983093262,8.816099166870117,13.300000190734863,1.2200000286102295,mst522,vdgc6,65,80,3,24,30,spec1d.vdgc2.031.gcN192.fits,ICGC,1.0,0
---,MST,N,---,188.6368408203125,11.853500366210938,-24.827974319458008,6.363460540771484,6.865959644317627,5.235151290893555,1.0,9.806783676147461,2.0113916397094727,0.0,21.334758758544922,6.444458484649658,5.083516597747803,13.300000190734863,3.690000057220459,mst520,vdgc6,64,79,3,29,34,spec1d.vdgc2.032.gcN196.fits,Star,0.9821721315383911,0
